Symbol       Index       VAL       TAG     TTYPE      TAGS        OP     TKIND
START         5738         1       769         3         0         1         1
IF             248         2       769         3         0         2         1
DO             604         3       769         3         0         3         1
REPEAT        2282         4       769         3         0         4         1
CASE          6420         5       769         3         0         5         1
LABEL         7552         6       769         3         0         6         1
EXIT          1186         7       769         3         0         7         1
GO             606         8       769         3         0         8         1
SET           7646         9       769         3         0         9         1
CALL           906        10       769         3         0        10         1
RECURS        3088        11       769         3         0        11         1
REC           5018        11       769         3         0        11         1
PROCED        2090        12       769         3         0        12         1
PROC          3770        12       769         3         0        12         1
RETURN         552        13       769         3         0        13         1
ENTRY          586        14       769         3         0        14         1
ENT           7992        14       769         3         0        14         1
EXTERN        1174        15       769         3         0        15         1
EXT            200        15       769         3         0        15         1
DECLAR        3110        16       769         3         0        16         1
DCL           2942        16       769         3         0        16         1
MESSAG        3388        17       769         3         0        17         1
MSG           3782        17       769         3         0        17         1
STOP           370        18       769         3         0        18         1
BEGIN         2024        30       769         3         0        30         1
END           6964        31       769         3         0        31         1
THEN          3330        32       769         3         0        32         1
ELSE          6862        33       769         3         0        33         1
ENDIF         3278        34       769         3         0        34         1
WHILE         2064        35       769         3         0        35         1
ENDDO         1444        36       769         3         0        36         1
UNTIL         6196        37       769         3         0        37         1
OF             254        38       769         3         0        38         1
ENDCAS        6750        39       769         3         0        39         1
TO             620        40       769         3         0        40         1
ENDPRO        3630        41       769         3         0        41         1
+             2622      1330      4868         3         1        50         4
-             2744      1843      4868         3         1        51         4
NOT           8040       308       770         3         0        52         2
*             2562      1077      4867         3         1        53         3
/             2866      1590      4867         3         1        54         3
MOD           7012      1591       771         3         0        55         3
AND           6960      1080       771         3         0        56         3
SHL           3156      1593       771         3         0        57         3
SHR           4566      1594       771         3         0        58         3
OR             734      1083       772         3         0        59         4
XOR           4850      1084       772         3         0        60         4
.             2806        61      5888         7         1        61         0
,             2684        62      5895         7         1        62         7
;             3598        63      5895         7         1        63         7
(             2440        64      5888         7         1        64         0
)             2500        65      5888         7         1        65         0
'             2378        66      5895         7         1        66         7
=             3720      1603      5894         7         1        67         6
EQ             684      1094       773         3         0        70         5
NE             214      1095       773         3         0        71         5
LE             212      1096       773         3         0        72         5
LT             812      1097       773         3         0        73         5
GE             206      1098       773         3         0        74         5
GT             806      1099       773         3         0        75         5
Collisions:          0
